City, City Code, NUTS 2, Country
Amsterdam,NL002C1,NL32,NL
Ankara,TR001C1,TR51,TR
Antwerp,BE002C1,BE2,BE
Athens,EL001C1,EL30,EL
Barcelona,ES002C1,ES51,ES
Belfast,UK012C1,UKN0,UK
Belgrade, -,RS11,RS
Bergen,NO002C1,NO05,NO
Berlin,DE001C1,DE30,DE
Birmingham,UK002C1,UKG3,UK
Bologna,IT009C1,ITH5,IT
Brasov,RO504C1,RO12,RO
Bratislava,SK001C1,SK01,SK
Bristol,UK011C1,UKK1,UK
Brno,CZ002C1,CZ06,CZ
Brussels,BE001C1,BE1,BE
Bucharest,RO001C1,RO32,RO
Budapest,HU001C1,HU11,HU
Bursa,TR005C1,TR41,TR
Cambridge,UK017C1,UKH1,UK
Cluj-Napoca,RO002C1,RO11,RO
Cologne,DE004C1,DEA2,DE
Constanta,RO501C1,RO22,RO
Copenhagen,DK001C1,DK01,DK
Cork,IE002C1,IE05,IE
Dublin,IE001C1,IE06,IE
Dusseldorf,DE011C1,DEA1,DE
Edinburgh,UK007C1,UKM7,UK
Eindhoven,NL005C1,NL41,NL
Frankfurt,DE005C1,DE71,DE
Gdansk,PL006C1,PL63,PL
Geneva,CH002C1,CH01,CH
Gent,BE003C1,BE23,BE
Glasgow,UK004C1,UKM82,UK
Gothenburg,SE002C1,SE23,SE
Hamburg,DE002C1,DE60,DE
Iasi,RO502C1,RO21,RO
Istanbul,TR012C1,TR10,TR
Izmir,TR013C1,TR31,TR
Kaunas,LT002C1,LT02,LT
Krakow (Cracow),PL003C1,PL2,PL
Leeds,UK003C1,UKE42,UK
Limassol,CY501C1,CY00,CY
Lisbon,PT001C1,PT17,PT
Ljubljana,SI001C1,SI04,SI
London,UK001K2,UKI,UK
Luxembourg,LU001C1,LU00,LU
Lyon,FR003C2,FRK2,FR
Madrid,ES001C1,ES30,ES
Manchester,UK008C1,UKD3,UK
Milan,IT002C1,ITC4,IT
Munich,DE003L1,DE21,DE
Nicosia,CY001C1,CY00,CY
Oslo,NO001C1,NO01,NO
Paris,FR001C1,FR10,FR
Porto,PT002C1,PT11,PT
Poznan,PL005C1,PL41,PL
Prague,CZ001C1,CZ01,CZ
Reykjavik,IS001C1,IS00,IS
Riga,LV001C1,LV00,LV
Rome,IT001C1,ITI4,IT
Rotterdam,NL003C1,NL33,NL
Seville (Sevilla),ES004C1,ES61,ES
Sofia,BG001C1,BG41,BG
Stockholm,SE001C1,SE11,SE
Stuttgart,DE007C1,DE11,DE
Tallinn,EE001C1,EE00,EE
The Hague (Den Haag),NL001C1,NL33,NL
Thessaloniki,EL002C1,EL52,EL
Timisoara,RO003C1,RO42,RO
Trieste,IT015C1,ITH4,IT
Trondheim,NO003C1,NO06,NO
Turin,IT004C1,ITC1,IT
Valencia,ES003C1,ES51,ES
Varna,BG003C1,BG33,BG
Vienna,AT001C1,AT13,AT
Vilnius,LT001C1,LT01,LT
Warsaw,PL001C1,PL91,PL
Wroclaw,PL004C1,PL51,PL
Zagreb,HR001C1,HR04,HR
Zurich,CH001C1,CH04,CH
